,InvoiceID,Barcode
35,VN0001010102230069,"8935217413508, 260201013661"
36,VN0001010102230070,"8934680045650, 8934804034058"
37,VN0001010102230074,"2010809000253, 8938502525337, 8938502525344, 2010803000150, 8936036027464, 2010803000273, 8936199810026, 2270102000361, 8934563651138, 2010805000356, 2701020000046, 2701020000053, 2010805000219, 2010805000226, 2702010000022, 2702010000015, 8935217400355, 8935217413201, 2250103000058, 260201013661, 2120201000017, 8934673581349, 8934673601825, 2010803000181"
38,VN0001010102230077,"8938503131933, 260201013661"
39,VN0001010102230078,"8934804034058, 8936076270264"
40,VN0001010102230083,"8934588063060, 8935217400393"
41,VN0001010102230084,"2010805000226, 8935297101494"
42,VN0001010102230085,"2701020000015, 2120201000017"
43,VN0001010102230088,"250302000187, 2705010000030"
44,VN0001010102230089,"260201013661, 2120201000017"
45,VN0001010102230091,"8934588692116, 8934588692116, 260201013661"
46,VN0001010102230092,"2260501000048, 2605010128881, 2605010128874, 8935311100472"
47,VN0001010102230093,"2010104000118, 260202000017"
48,VN0001010102230094,"2270201000033, 2010904000028"
49,VN0001010102230095,"2080201000137, 2270201000033, 260201013661"
50,VN0001010102230097,"8938503131933, 8934680040594"
51,VN0001010102230098,"250302018867, 2010805000219"
52,VN0001010102230100,"2010104000118, 260201013661"
53,VN0001010102230103,"2260201000508, 8935005800015, 8999178650235, 5000159459228"
54,VN0001010102230105,"2010103000034, 8936076270271"
55,VN0001010102230106,"2260501000031, 2010805000219, 2605010128874"
56,VN0001010102230107,"2010805000356, 8935217407255"
57,VN0001010102230108,"89686010947, 2010805000264, 2010809000222"
58,VN0001010102230110,"2260201000485, 8935268201222"
59,VN0001010102230111,"8938507849155, 2080101001098, 8850228003046, 8935217400393"
60,VN0001010102230117,"8936127796019, 8936127796019"
61,VN0001010102230123,"8938503131834, 8934588293559"
62,VN0001010102230124,"2010805000363, 250103119017, 260201013661"
63,VN0001010102230128,"8938502525337, 8936146442249, 8936146443635, 8936127790017, 8936127794404, 2010803000112"
64,VN0001010102230129,"8936146442249, 8936146443635, 8936127790017, 8936127794404"
65,VN0001010102230131,"8936006857077, 8936006851013"
66,VN0001010102230133,"8934673101097, 8934673101097"
67,VN0001010102230134,"2010809000253, 8938502525337"
68,VN0001010102230135,"2010809000253, 8938502525337"
69,VN0001010102230138,"8934964124057, 8934755035289, 8936098214543, 8935250402538"
70,VN0001010102230141,"8938502525344, 8938505214443"
71,VN0001010102230144,"8682091023650, 8859578603913, 8859578603432, 8850548010120"
72,VN0001010102230146,"2010803000273, 250103119017"
73,VN0001010102230147,"8934840000093, 2010103000034"
74,VN0001010102230149,"8938502525344, 8935237711448, 8934588663130, 8934673101080"
75,VN0001010102230152,"8934755020049, 8992775343128"
76,VN0001010102230156,"2010803000150, 2010803000167, 260201000010"
77,VN0001010102230157,"2010809000253, 8938507849094, 2010805000356, 2010101000005"
78,VN0001010102230159,"2260101000202, 2703010000043"
79,VN0001010102230166,"8938508547715, 2601010000172, 8934563619138, 8934563193263, 260201013661, 2010803000112"
80,VN0001010102230167,"2010805000233, 2010803000112"
81,VN0001010102230168,"8934564600838, 8934673619615, 8934588232114"
82,VN0001010102230174,"2010805000363, 260202000017"
83,VN0001010102230175,"2010101000005, 8935049501626"
84,VN0001010102230176,"8935012413338, 769828111311, 8935012443366"
85,VN0001010102230178,"4719684107016, 96118504"
86,VN0001010102230180,"8935049501527, 2701020000053, 8935217413409, 2250103000058, 260201013661, 2120201000017, 8936036200195"
87,VN0001010102230182,"2701020000053, 8935217413409, 2250103000058, 260201013661, 2120201000017"
88,VN0001010102230183,"8938502525344, 2010103000010"
89,VN0001010102230184,"8850389302811, 8850389302835"
90,VN0001010102230185,"8934588133138, 8850125000063"
91,VN0001010102230186,"2010101000005, 8850125000063, 8801104190718, 8994834006203, 8934677000372"
92,VN0001010102230187,"2250103000058, 2270301000308"
93,VN0001010102230188,"8938539302017, 8850157100526, 8934803043730, 8936101343505"
94,VN0001010102230189,"8934680045421, 2010101000005, 8808024030919"
95,VN0001010102230190,"8936146442249, 2010904000035"
96,VN0001010102230191,"2501031190183, 8934841901641"
97,VN0001010102230194,"4901331011641, 8935250402538, 4901331002540, 8934677020219"
98,VN0001010102230195,"8934964124514, 8934755035074, 8934755020063"
99,VN0001010102230204,"8938507849674, 8936079120108"
100,VN0001010102230206,"8936011770019, 8936011773409, 8935005801135"
101,VN0001010102230207,"6942836703226, 6942836703288, 8934588293559, 8934588293559"
102,VN0001010102230208,"2010101000005, 2010103000010, 8938512932026"
103,VN0001010102230209,"8935049501596, 8934822111212, 8934677013419"
104,VN0001010102230210,"8938512932026, 8809164223421"
105,VN0001010102230211,"2010803000419, 2010805000219, 2270301000308"
106,VN0001010102230213,"8935001713388, 8936010532120"
107,VN0001010102230217,"2602010136625, 107068781510"
108,VN0001010102230220,"8934588023132, 8934588233074, 8934822171216"
109,VN0001010102230222,"8935049511014, 8935049511014, 2010805000233"
110,VN0001010102230224,"2010101000005, 8934588172113"
111,VN0001010102230225,"9556182104018, 6942836704322"
112,VN0001010102230226,"9556247536877, 250302000187, 9556001027252"
113,VN0001010102230228,"8935005800145, 8936086200473, 8934588663130"
114,VN0001010102230230,"8935005801135, 8936036200195"
115,VN0001010102230231,"8936104380057, 8934563669133, 2010805000233, 2010103000034, 8936136164700, 2010104000118, 2501031190183"
116,VN0001010102230232,"8935005800015, 8936127794008"
117,VN0001010102230233,"2010809000116, 260501012885, 260501000127"
118,VN0001010102230234,"8938521062165, 8935006360006, 2120201000017"
119,VN0001010102230235,"8936010532106, 8936010532113"
120,VN0001010102230236,"2010101000005, 8935112200005"
121,VN0001010102230237,"2260501000123, 8936146442263"
122,VN0001010102230239,"8801051018035, 8934755035074, 8935250402019"
123,VN0001010102230241,"8934563151157, 2010809000222"
124,VN0001010102230245,"2010104000118, 2250103000133"
125,VN0001010102230246,"8934563550196, 8934563622138, 8934563619138, 31146155736, 8934588873058"
126,VN0001010102230247,"8935049510147, 8935049501381, 2010101000005"
127,VN0001010102230249,"8934564600838, 2010805000356"
128,VN0001010102230252,"2090103000203, 6942836703226, 6972885416518, 8936025774010, 8936025774010"
129,VN0001010102230253,"2701030000043, 8934840000185"
130,VN0001010102230257,"8936079120276, 260201013661"
131,VN0001010102230258,"8691216018891, 2501031190183"
132,VN0001010102230261,"6921168500956, 8850389103142, 2270201000002"
133,VN0001010102230262,"2701030000029, 8850389302835, 8801308447489"
134,VN0001010102230263,"8936142210323, 8936036021745"
135,VN0001010102230266,"8801104671101, 8934952005962, 4893049120008"
136,VN0001010102230267,"8934588063053, 2010903000135"
137,VN0001010102230268,"8851818943841, 8851818707962, 8859578600257"
138,VN0001010102230270,"2501031190183, 2270301000308"
139,VN0001010102230273,"8938502525337, 8935049501190, 8935049501190, 8935049500711, 8935049500698"
140,VN0001010102230278,"2080101001166, 8934588663130"
141,VN0001010102230279,"8936011779197, 8934588873102, 8934588193101, 8934588193552"
142,VN0001010102230282,"770795005596, 8935001282365"
143,VN0001010102230283,"769828221591, 8936149340061, 7622210816887, 8934774001005, 3387390320558, 8938525454362, 8934588503054, 95506500, 9556001027252, 9556001227560, 8934840000093, 3154147350324, 8938509627119, 9551013023193, 8936183001027, 8936132380234, 6914973600362, 8938504740028, 8935001842316, 8888077101101"
144,VN0001010102230285,"8934680040136, 8936036028416"
145,VN0001010102230286,"8934588063176, 8934673315449"
146,VN0001010102230287,"8934588063053, 8936025774058, 8936025774058"
147,VN0001010102230289,"2010101000005, 8934803043785, 8934588172113"
148,VN0001010102230290,"2010809000253, 260201000010"
149,VN0001010102230291,"8934841901849, 8936036028256"
150,VN0001010102230292,"8936036028348, 8934588233074, 8859470510074"
151,VN0001010102230294,"810051801521, 8410525186516, 8858954209152"
152,VN0001020102230001,"8935049510864, 8934563619138, 8936127794404"
153,VN0001020102230004,"2270102000033, 9556001227560, 8935005801012, 2010904000004"
154,VN0001020102230005,"2010902000228, 2270102000026, 9556001227461"
155,VN0001020102230006,"8935117702115, 8934563138165, 8809041428925, 2702010000060"
156,VN0001020102230008,"8936146442249, 8934563151157"
157,VN0001020102230011,"8935049510864, 8691216090439, 8936010541337"
158,VN0001020102230013,"8934755035333, 8997035600638, 8997035601321, 6914973600362"
159,VN0001020102230016,"2270202000056, 2270102000361"
160,VN0001020102230018,"2701030000074, 8936025774058"
161,VN0001020102230019,"8934563622138, 8934563613150"
162,VN0001020102230021,"8936104380057, 8934841902884, 8938500432781"
163,VN0001020102230022,"8938502525337, 8938512932026, 2250103000058"
164,VN0001020102230023,"2010403000079, 260201013661"
165,VN0001020102230026,"8938502525337, 260201013661, 8934588193552"
166,VN0001020102230029,"8938539302017, 2250103000058, 2120201000017"
167,VN0001020102230030,"8934588640445, 8888196170712"
168,VN0001020102230031,"9556007002215, 2120201000017"
169,VN0001020102230034,"260201013661, 2120201000017"
170,VN0001020102230037,"8938502525344, 2250103000058"
171,VN0001020102230040,"2010805000356, 8936127790031"
172,VN0001020102230041,"2010104000118, 260201013661"
173,VN0001020102230042,"8885011230880, 8809422041279, 2010904000028"
174,VN0001020102230044,"8938502525351, 250302000187, 2270201000026, 2010904000141"
175,VN0001020102230045,"4005292001106, 8934680045896"
176,VN0001020102230048,"8938502525351, 250302000187, 2120201000017"
177,VN0001020102230050,"2120201000017, 8934840000130"
178,VN0001020102230052,"8938502525344, 260201013661"
179,VN0001020102230054,"8938502525337, 2010809000482"
180,VN0001020102230057,"8938502525337, 8934841900286"
181,VN0001020102230070,"8938502525351, 2702010000039, 2010904000028"
182,VN0001020102230071,"8938502525337, 8934614015025, 2704010000057, 2010903000098, 2701020000046, 8934804039220, 2702010000022, 2010904000035, 8936076270295, 2250103000058, 260201013661"
183,VN0001020102230073,"8938502525351, 8935217450015, 8935217450015"
184,VN0001020102230076,"8936103260299, 8938502525337, 2010803000150, 2260201000508, 8936036027945, 2010803000273, 2260501000123, 8935268201222, 2010805000363, 2602010136625, 8938500432781, 2080101001166, 8938512932026, 8935217450114, 8935217450114, 2250103000058, 260201013661, 2120201000017"
185,VN0001020102230079,"8938502525344, 2120201000017"
186,VN0001020102230080,"2702010000015, 260201013661"
187,VN0001020102230082,"8938502525344, 8935107200836, 8936006851013, 8934677013310"
188,VN0001020102230084,"2701020000015, 8934614031148"
189,VN0001020102230088,"8938502525351, 8934588672118"
190,VN0001020102230091,"8801051018035, 8997018480790"
191,VN0001020102230092,"8934680045650, 2010103000034"
192,VN0001020102230093,"8938502525351, 2010101000005"
193,VN0001020102230094,"8934563670139, 8934841901641"
194,VN0001020102230095,"2260201000485, 8935217450114, 8935217450114"
195,VN0001020102230098,"2010902000198, 8935001282310"
196,VN0001020102230099,"8938539302017, 2260201000508"
197,VN0001020102230101,"8850393919975, 107068781510"
198,VN0001020102230102,"8938512932026, 2250103000058"
199,VN0001020102230103,"8938502525344, 2260201000485, 2250103000058"
200,VN0001020102230104,"8936088900470, 2010809000512, 2260501000031, 260501000127"
201,VN0001020102230106,"2270401000000, 2010103000034, 8935112200005"
202,VN0001020102230108,"8938502525351, 8936079121778, 2250103000058"
203,VN0001020102230110,"2270102000026, 8936071091000, 260201013661"
204,VN0001020102230112,"2702010000077, 8808024030919"
205,VN0001020102230113,"8934755010033, 9551013023186"
206,VN0001020102230114,"107068781510, 260201013661, 2120201000017"
207,VN0001020102230115,"8936146442249, 260201013661"
208,VN0001020102230116,"8934755014154, 8936006851495, 8936127791212"
209,VN0001020102230120,"107068781510, 8936071070203"
210,VN0001020102230122,"2080101001166, 8935217406074"
211,VN0001020102230123,"2270401000000, 2010904000004, 2120201000017"
212,VN0001020102230129,"8934841901849, 2260201000508"
213,VN0001020102230130,"8938502525337, 8934804039220, 8935217413409"
214,VN0001020102230132,"8938502525351, 8938503131063"
215,VN0001020102230133,"8935049501374, 8935049501503, 2010805000219, 8934564600357, 8997035600638, 8935112200005"
216,VN0001020102230134,"8938502525337, 8934614030424, 8934804037783, 2080101001852"
217,VN0001020102230135,"8934614015025, 2080201000021"
218,VN0001020102230136,"8938502525337, 8934673573344"
219,VN0001020102230138,"8934755035180, 4710085219780, 8803628001105"
220,VN0001020102230140,"8936079140076, 8938512632032, 8935217464548"
221,VN0001020102230141,"260201013661, 2120201000017"
222,VN0001020102230142,"8936036026146, 8934804037783, 2120201000017"
223,VN0001020102230146,"8938502525337, 8935049500711"
224,VN0001020102230147,"8936036026146, 2120201000017"
225,VN0001020102230150,"8935049501503, 2270102000361, 8885011230903, 8885011230880, 2010101000005, 8935217407255"
226,VN0001020102230152,"8934841901849, 2080101001166"
227,VN0001020102230154,"8936088900470, 2260501000109, 2260501000055"
228,VN0001020102230157,"250302000187, 2250103000058"
229,VN0001020102230158,"2010101000005, 8935112200005"
230,VN0001020102230160,"8938507849476, 8808024030933"
231,VN0001020102230161,"8938502525337, 8934673700108"
232,VN0001020102230168,"250302000017, 2120201000017"
233,VN0001020102230172,"8938502525344, 8934804039220"
234,VN0001020102230173,"2010809000253, 8934563670139"
235,VN0001020102230174,"4003084880410, 8859578601452"
236,VN0001020102230178,"8934755042287, 8934677020318"
237,VN0001020102230179,"8936103260312, 8936176751021, 260201013661, 2120201000017"
238,VN0001020102230180,"2010101000005, 8850228003510, 8850228003510"
239,VN0001020102230181,"8936104380057, 8936104380446, 8934588133138, 8936176752028"
240,VN0001020102230182,"2010809000116, 2701020000015, 2260501000109, 2260501000048, 260501012885, 2605010128874"
241,VN0001020102230185,"8938502525344, 2010805000233, 260202000017"
242,VN0001020102230186,"2010809000116, 8858702437738, 8858702410816, 2010809000529, 2703010000036, 2605010128881, 8935112200005, 8934588233074"
243,VN0001020102230187,"8858702437738, 8858702410816"
244,VN0001020102230188,"2010809000116, 8936088900470, 260501001287, 2260501000055, 260201013661"
245,VN0001020102230189,"8938503131117, 2701010000056"
246,VN0001020102230190,"8934614030424, 2701030000043"
247,VN0001020102230192,"8938502525351, 8888826016175, 2120201000017"
248,VN0001020102230193,"8938502525337, 8936110050722, 2010805000219"
249,VN0001020102230196,"8934614030356, 2010901000274"
250,VN0001020102230197,"8934563651138, 8936136164700"
251,VN0001020102230201,"8938502525351, 260201013661"
252,VN0001020102230202,"8934755010408, 8936127790017"
253,VN0001020102230204,"8859559600962, 5038483492901"
254,VN0001020102230205,"4710085219780, 2010805000028"
255,VN0001020102230210,"2010101000005, 8850228005521"
256,VN0001020102230211,"260201013661, 2120201000017, 8934673601825"
257,VN0001020102230212,"8936146442249, 8935217413201, 260201013661"
258,VN0001020102230213,"8938502525337, 260201013661"
259,VN0001020102230214,"8938502525337, 260201013661"
260,VN0001020102230215,"2010809000512, 2260501000109, 260501000011"
261,VN0001020102230216,"2010902000198, 8935005801135, 2010904000035"
262,VN0001020102230217,"2010803000167, 260201013661"
263,VN0001020102230220,"8938502525337, 260201013661"
264,VN0001020102230221,"2250103000058, 260201013661, 2120201000017"
265,VN0001020102230222,"2010101000005, 8935112200005"
266,VN0001020102230225,"8938502525344, 2010805000356, 8801056093181"
267,VN0001020102230226,"8936087395628, 8936065140646, 8934588172113"
268,VN0001020102230227,"4893049150012, 8934680046510"
269,VN0001020102230230,"8935049501374, 8997035600638"
270,VN0001020102230231,"8936098214543, 4893049150012"
271,VN0001020102230235,"2270101000591, 2010904000028, 260201013661"
272,VN0001020102230236,"8934804037806, 8938501434012"
273,VN0001020102230241,"2701010000056, 260201013661, 2120201000017"
274,VN0001020102230243,"8936028641654, 8850125000063, 2010403000109, 8801104190718, 8994834006203"
275,VN0001020102230244,"8850157511650, 2010101000005"
276,VN0001020102230245,"2260101000202, 2260501000123, 8934563651138, 2701020000060, 8934563619138, 2250103000058"
277,VN0001020102230247,"8938502525344, 8936088900470, 2260501000031, 2260501000055, 2120201000017"
278,VN0001020102230250,"8935217413201, 2250103000058, 2120201000017"
279,VN0001020102230251,"2250103000058, 260201013661"
280,VN0001020102230253,"8934588712081, 2501031190183"
281,VN0001020102230254,"8936135440034, 8936079121020"
282,VN0001020102230257,"8935049500698, 8935049500698"
283,VN0001020102230260,"4901331011641, 4901331002540, 8936000910747"
284,VN0001020102230263,"8935217450114, 8935217450114"
285,VN0001020102230273,"2701020000060, 2010803000112"
286,VN0001020102230277,"9300639605333, 8934677000334"
287,VN0001020102230280,"2260501000031, 260501000011"
288,VN0001020102230282,"2010809000529, 2010809000512, 2605010128898"
289,VN0001020102230285,"8934755010408, 8934755020063, 8938512932026"
290,VN0001020102230288,"8936127796217, 8936127796217"
291,VN0001020102230289,"8938501349200, 8938501349668, 8936010532090, 8936010532113, 8936013680521"
292,VN0001020102230290,"8996001350584, 8934563805159, 260201013661"
293,VN0001020102230294,"8936025774058, 8934804039220, 2010805000288"
294,VN0001020102230295,"8850453018518, 8851932080149"
295,VN0001020102230297,"8935049500544, 8936025774058, 8934588243011"
296,VN0001020102230298,"8858223013039, 8935149506033"
297,VN0001020102230299,"8801104940238, 95506500, 7622300761349, 2010805000288"
298,VN0001020102230302,"8935049510673, 2270102000361"
299,VN0001020102230304,"260202000017, 8808024030933"
300,VN0001020102230305,"8680181121248, 8680181121200, 8801056093181"
301,VN0001020102230308,"260201013661, 8934688808035, 8934743042909"
302,VN0001020102230310,"2010809000253, 8938545001027"
303,VN0001020102230311,"4901351018750, 9556001027252"
304,VN0001020102230312,"8936104380446, 8934588233074, 260201013661"
305,VN0001020102230313,"8936135440027, 8936036027891"
306,VN0001020102230317,"8888021100945, 2010805000363, 8934822101336"
307,VN0001020102230320,"2010809000116, 250302000017, 2010809000529, 2605010128867"
308,VN0001020102230321,"8934588063053, 8934680043748, 95506500, 8936036025576"
309,VN0001020102230323,"8934588023132, 2010902000198, 2701020000053, 8934588173073"
310,VN0001020102230324,"8935049501527, 2010904000141"
311,VN0001020102230326,"8997035600638, 2120201000017, 8934677000358"
312,VN0001020102230327,"2010809000277, 8936088900470, 8935049510857, 2260501000048, 260501000127"
313,VN0001020102230330,"8934588063060, 6920354827792"
314,VN0001020102230332,"8936079282714, 8934563651138"
315,VN0001020102230333,"8936061260447, 8934822101503"
316,VN0001020102230338,"2702010000077, 8936127796019"
317,VN0001020102230339,"9556001227560, 9556001222343, 2010805000288, 2250103000133, 8934673575348"
318,VN0001020102230340,"8938507849155, 2250103000058, 2120201000017"
319,VN0001020102230341,"2010902000228, 8936049690976, 8934673573399"
320,VN0001020102230342,"8850096848510, 8938529017099, 2120201000017"
321,VN0001020102230343,"260501001287, 2605010128898"
322,VN0001020102230344,"4066600601920, 8938541405058, 96118528"
323,VN0001020102230345,"8691216090439, 8801062881741, 8801062267712"
324,VN0001020102230346,"8934564300233, 8934755020063, 9556001216144"
325,VN0001020102230347,"8936149340061, 8934588712081"
326,VN0001020102230348,"8936146442249, 8935049500711, 8934673700108, 8936028641487, 2010101000005, 8936036026962"
327,VN0001020102230349,"8935049501374, 8935001282280, 2703010000050, 2270201000002"
328,VN0001020102230351,"8934588672118, 2010805000288"
329,VN0001020102230352,"8934755035180, 8888855001432, 8809498700223, 37000974642, 8850338032318"
330,VN0001020102230354,"8936088900470, 2260501000031"
331,VN0001020102230355,"8850157000864, 6972885416518, 8997035600638, 8934680011501"
332,VN0001020102230356,"8935005800145, 8934588873058"
333,VN0001020102230358,"8935049510673, 2010901000243, 2701020000015, 2010101000005, 260201000010, 8934564600173"
334,VN0001020102230359,"8934803024814, 8934803043785"
335,VN0001020102230360,"8934680012652, 8850548010120, 8858223013039, 8934803012880"
336,VN0001020102230361,"2010803000396, 8850228005521, 8850228003046"
337,VN0001020102230362,"8938512932026, 8935217413201"
338,VN0001020102230364,"8938512632032, 8936127790031"
339,VN0001020102230365,"769828221591, 9556001227560, 2010805000288"
340,VN0001020102230366,"8935049510864, 8852008510492"
341,VN0001020102230367,"8934803026078, 8934803042276"
342,VN0001020102230371,"8935015402612, 2010101000005, 8934588232114, 8934841900293"
343,VN0001020102230376,"8935012413338, 8934803044027"
344,VN0001020102230379,"8934614031148, 8935049500711, 8934680012652, 8934803043075"
345,VN0001020102230380,"31146270606, 8936079122331, 8936132380371, 8934822101503, 260202000017"
346,VN0001020102230384,"8934822170219, 8934822110215"
347,VN0001020102230385,"8934563151157, 8934563805159, 2010101000005, 8934588133138, 8935049510895, 8934803024814, 8934803043259, 2010805000288"
348,VN0001020102230386,"8935217400195, 8935001214236"
349,VN0001020102230388,"8934588702112, 9556001227539, 9556001216236, 8992760223015"
350,VN0001020102230389,"7622201704223, 9556710006463"
351,VN0001020102230390,"8935049510673, 2270102000033, 2010101000005, 31146254903"
352,VN0001020102230391,"8938507849025, 8938500432781, 8936136164755"
353,VN0001020102230392,"8934588063053, 4710085219780, 8850228003046, 8850228003022"
354,VN0001020102230393,"2270103000100, 2270102000033, 8936049051654, 8935049510680, 8936176752349"
355,VN0001020102230394,"8935049501657, 8850389302811, 8850389302835, 8934563653132, 8934822212339, 8935001282310, 2010101000005, 9556001272775, 8850125000063, 31146270606, 8934588012112, 8934588672118, 8801104900010"
356,VN0001020102230395,"8936036028287, 8936036028225, 8936036028355"
357,VN0001020102230396,"2010902000228, 2270102000361"
358,VN0001020102230397,"8934563670139, 8934563651138, 8936025774027, 8936025774027, 8936025774058, 8936025774058, 8934563619138"
359,VN0001020102230400,"8934564600357, 8936079120276"
360,VN0002010102230006,"8936127790031, 8936127790017"
361,VN0002010102230010,"8850393991926, 8850393801379, 5900020033956, 3387390320558, 2120201000314"
362,VN0002010102230023,"8938502525344, 8934840000130"
363,VN0002010102230026,"8934755010439, 260201013661"
364,VN0002010102230028,"8938507849155, 2701010000056, 2010904000035, 2270301000308"
365,VN0002010102230029,"8934588063053, 2010805000356"
366,VN0002010102230030,"8934614030356, 2010805000226"
367,VN0002010102230032,"8934563138165, 260201013661"
368,VN0002010102230034,"8938507849674, 8938507849032, 2270501000108, 4901301384614, 8936076270295, 4909978703547, 8935241701480, 8934673818391"
369,VN0002010102230035,"8938503131063, 8936209892240"
370,VN0002010102230037,"8938502525337, 8935217400355"
371,VN0002010102230039,"2260501000031, 2250103000058"
372,VN0002010102230040,"2010809000529, 2260501000031, 2260501000109, 260501000127, 2605010128874"
373,VN0002010102230044,"4710085219780, 2010803000181"
374,VN0002010102230046,"250301000117, 2010104000118"
375,VN0002010102230048,"8934563653132, 2010101000005, 8936127791212"
376,VN0002010102230049,"2010809000512, 2260501000109, 8934563151157"
377,VN0002010102230052,"8938502525344, 8935001282426"
378,VN0002010102230056,"2010905000010, 8934804034058"
379,VN0002010102230057,"8938502525344, 8996001340998"
380,VN0002010102230058,"8850453016217, 8934673296205"
381,VN0002010102230060,"8936110050395, 2010101000005, 8801382124528"
382,VN0002010102230063,"4901301043207, 8851818943841, 8851818129702"
383,VN0002010102230064,"2260201000508, 2010104000118"
384,VN0002010102230065,"8938502525344, 8938503131995, 8801068038262, 8935217406074"
385,VN0002010102230067,"8852756303049, 8934588063060, 95506500"
386,VN0002010102230069,"8936079140014, 2010101000005, 8936127791113, 2250103000058"
387,VN0002010102230071,"8938502525351, 8888196173324"
388,VN0002010102230073,"2260201000485, 8935217407255"
389,VN0002010102230074,"8938502525351, 250302000187"
390,VN0002010102230075,"2250103000058, 2010104000118, 2010803000181"
391,VN0002010102230080,"8934588063053, 2604020000019, 250302000187, 8934673700115"
392,VN0002010102230081,"8938511021042, 260201000010"
393,VN0002010102230082,"8934804027784, 8936122200207"
394,VN0002010102230086,"2010101000005, 8850228003022"
395,VN0002010102230091,"2270401000017, 8936079140021, 2010904000004"
396,VN0002010102230094,"8935030219806, 8934839128142"
397,VN0002010102230096,"8888855001432, 2010101000005, 8934588193552"
398,VN0002010102230097,"2250103000058, 260201013661"
399,VN0002010102230098,"2010805000226, 8934588232114"
400,VN0002010102230103,"2010809000116, 2010809000512, 2260501000031, 2260501000109, 2260501000048, 8934563151157, 8934588672118, 2605010128881, 2260501000055, 260501000127"
401,VN0002010102230105,"8938503131926, 8935217400027"
402,VN0002010102230107,"2260201000485, 107068781510"
403,VN0002010102230111,"8938507849025, 8801007139647, 8938512932033"
404,VN0002010102230117,"8935049501534, 8888826016175, 9556149001053, 8935005801135"
405,VN0002010102230119,"8938502003989, 8938502003323"
406,VN0002010102230120,"8934588133138, 8936136164403, 260201013661, 2010803000112"
407,VN0002010102230121,"8936079120139, 8934588133138"
408,VN0002010102230123,"8936104380316, 2010803000181"
409,VN0002010102230125,"8936146442263, 89686910704"
410,VN0002010102230126,"8938502525344, 8935112200005"
411,VN0002010102230127,"2010803000273, 2270401000000"
412,VN0002010102230128,"2010803000167, 2270401000017, 2010803000181"
413,VN0002010102230130,"8936104380163, 8938500432774"
414,VN0002010102230136,"2010803000150, 8935001713128"
415,VN0002010102230139,"8934614031216, 260201013661"
416,VN0002010102230143,"8850096848503, 6921738097145, 8850006331866, 6920354814471, 8801651080395, 3154140176105, 2010904000035, 8935241700513"
417,VN0002010102230144,"8938540871458, 260201013661"
418,VN0002010102230148,"2010901000243, 2010104000118"
419,VN0002010102230149,"8936110050494, 2230103000098"
420,VN0002010102230150,"8938502003989, 2701030000074, 9300647000342"
421,VN0002010102230151,"2010904000035, 8935217400157, 260201013661"
422,VN0002010102230153,"2260201000485, 107068781510, 2080101001821"
423,VN0002010102230157,"8936079122324, 8934588883132"
424,VN0002010102230159,"8938503131926, 8935250402538, 2250103000058"
425,VN0002010102230160,"8934563347130, 260201013661"
426,VN0002010102230162,"2703020000019, 8938502003194"
427,VN0002010102230164,"8934563193263, 2010805000288"
428,VN0002010102230167,"4710085219780, 8938502003620"
429,VN0002010102230179,"8936036027464, 8850157100526"
430,VN0002010102230180,"250302018867, 9556001272775"
431,VN0002010102230182,"8938507849674, 8936011774031"
432,VN0002010102230190,"2010805000226, 2010803000112"
